FIPS	state	n_killed	n_injured	count 	county
48455	Texas	6	3	8	Trinity
47059	Tennessee	13	18	78	Greene
19049	Iowa	1	1	3	Dallas
26087	Michigan	5	3	13	Lapeer
13141	Georgia	2	0	2	Hancock
2070	Alaska	4	2	18	Dillingham
48161	Texas	4	2	5	Freestone
47159	Tennessee	0	4	2	Smith
18037	Indiana	1	3	12	Dubois
31015	Nebraska	0	0	2	Boyd
29047	Missouri	13	12	27	Clay
37003	North Carolina	6	7	14	Alexander
28035	Mississippi	36	80	162	Forrest
13113	Georgia	6	12	23	Fayette
55049	Wisconsin	1	0	2	Iowa
36093	New York	22	47	125	Schenectady
37199	North Carolina	3	1	6	Yancey
2020	Alaska	110	199	498	Anchorage
26117	Michigan	7	1	11	Montcalm
1017	Alabama	10	22	27	Chambers
18077	Indiana	1	0	1	Jefferson
47117	Tennessee	2	5	7	Marshall
48109	Texas	1	0	1	Culberson
48147	Texas	3	3	6	Fannin
48043	Texas	3	5	6	Brewster
20073	Kansas	0	0	1	Greenwood
18059	Indiana	3	6	19	Hancock
48175	Texas	1	1	2	Goliad
21115	Kentucky	7	1	7	Johnson
26137	Michigan	1	1	3	Otsego
28097	Mississippi	7	3	6	Montgomery
42033	Pennsylvania	3	7	13	Clearfield
53045	Washington	17	3	22	Mason
27009	Minnesota	2	2	7	Benton
13229	Georgia	1	0	1	Pierce
42081	Pennsylvania	24	31	52	Lycoming
28143	Mississippi	6	8	13	Tunica
8067	Colorado	7	2	13	La Plata
21163	Kentucky	1	0	2	Meade
48369	Texas	1	1	2	Parmer
37063	North Carolina	129	391	519	Durham
29133	Missouri	5	15	21	Mississippi
18027	Indiana	1	0	2	Daviess
37187	North Carolina	10	24	31	Washington
37155	North Carolina	117	106	197	Robeson
13039	Georgia	1	4	6	Camden
45027	South Carolina	7	2	9	Clarendon
19123	Iowa	1	3	5	Mahaska
12081	Florida	80	131	298	Manatee
48183	Texas	69	72	193	Gregg
36107	New York	2	1	8	Tioga
19107	Iowa	2	4	7	Keokuk
53035	Washington	12	19	42	Kitsap
12121	Florida	2	3	8	Suwannee
41023	Oregon	1	1	7	Grant
42101	Pennsylvania	890	2321	2934	Philadelphia
54059	West Virginia	3	6	11	Mingo
38089	North Dakota	5	18	51	Stark
22093	Louisiana	1	2	2	St. James
6073	California	243	290	681	San Diego
18019	Indiana	5	23	61	Clark
21169	Kentucky	5	2	6	Metcalfe
28099	Mississippi	15	10	37	Neshoba
36091	New York	4	6	39	Saratoga
45023	South Carolina	10	24	45	Chester
1027	Alabama	1	3	4	Clay
10005	Delaware	17	41	152	Sussex
39109	Ohio	5	12	47	Miami
51003	Virginia	2	4	7	Albemarle
47123	Tennessee	2	5	7	Monroe
21121	Kentucky	9	9	17	Knox
21071	Kentucky	5	9	19	Floyd
40141	Oklahoma	0	0	2	Tillman
18043	Indiana	7	9	27	Floyd
42083	Pennsylvania	5	1	10	McKean
19087	Iowa	0	2	6	Henry
26125	Michigan	96	214	513	Oakland
27123	Minnesota	83	182	463	Ramsey
13257	Georgia	7	3	15	Stephens
42037	Pennsylvania	8	20	39	Columbia
28039	Mississippi	6	5	14	George
28073	Mississippi	8	8	23	Lamar
19063	Iowa	2	0	3	Emmet
19111	Iowa	5	3	9	Lee
48267	Texas	0	1	1	Kimble
56027	Wyoming	0	1	1	Niobrara
27025	Minnesota	3	4	12	Chisago
37097	North Carolina	22	48	104	Iredell
26049	Michigan	183	399	709	Genesee
45057	South Carolina	33	36	81	Lancaster
51077	Virginia	2	1	5	Grayson
16033	Idaho	0	1	1	Clark
39123	Ohio	2	2	7	Ottawa
35053	New Mexico	1	3	5	Socorro
48257	Texas	9	11	17	Kaufman
8095	Colorado	0	1	1	Phillips
13315	Georgia	1	1	4	Wilcox
48097	Texas	2	3	7	Cooke
51079	Virginia	0	3	5	Greene
48285	Texas	1	0	1	Lavaca
12127	Florida	98	210	479	Volusia
18049	Indiana	1	6	9	Fulton
31083	Nebraska	0	1	1	Harlan
31159	Nebraska	0	1	3	Seward
46121	South Dakota	4	3	10	Todd
51069	Virginia	3	1	6	Frederick
17143	Illinois	41	299	931	Peoria
37047	North Carolina	27	59	114	Columbus
54105	West Virginia	1	0	1	Wirt
53015	Washington	14	19	51	Cowlitz
46099	South Dakota	18	34	274	Minnehaha
36085	New York	46	148	414	Richmond
29075	Missouri	1	0	1	Gentry
27083	Minnesota	2	0	3	Lyon
38003	North Dakota	1	1	9	Barnes
39097	Ohio	5	4	10	Madison
13081	Georgia	13	23	37	Crisp
29203	Missouri	1	1	2	Shannon
13063	Georgia	109	106	194	Clayton
37169	North Carolina	9	2	12	Stokes
13097	Georgia	34	29	68	Douglas
21123	Kentucky	0	1	1	Larue
12095	Florida	434	890	1441	Orange
45021	South Carolina	20	30	53	Cherokee
53073	Washington	16	12	52	Whatcom
9011	Connecticut	12	35	161	New London
34013	New Jersey	394	457	930	Essex
48117	Texas	0	2	1	Deaf Smith
19021	Iowa	0	1	12	Buena Vista
20111	Kansas	3	2	7	Lyon
40019	Oklahoma	11	26	49	Carter
20161	Kansas	8	19	53	Riley
28015	Mississippi	3	1	4	Carroll
48363	Texas	1	2	4	Palo Pinto
28113	Mississippi	24	30	48	Pike
48187	Texas	15	6	25	Guadalupe
54021	West Virginia	2	3	5	Gilmer
55037	Wisconsin	0	0	1	Florence
13305	Georgia	2	2	3	Wayne
13011	Georgia	2	3	5	Banks
13135	Georgia	121	101	222	Gwinnett
45049	South Carolina	16	17	35	Hampton
26103	Michigan	7	1	14	Marquette
38059	North Dakota	4	5	34	Morton
51137	Virginia	8	3	12	Orange
27063	Minnesota	0	1	1	Jackson
19039	Iowa	2	0	1	Clarke
32019	Nevada	10	16	23	Lyon
35035	New Mexico	8	6	15	Otero
26025	Michigan	24	88	215	Calhoun
29107	Missouri	2	1	4	Lafayette
47087	Tennessee	48	156	342	Jackson
16085	Idaho	0	0	2	Valley
51073	Virginia	5	6	11	Gloucester
12069	Florida	49	79	226	Lake
